phone_md5,ft_tag_gender,ft_tag_marrige,parent,ft_lbs_same_night_stay_wifimac_cnt,ft_tag_occupation_office,ft_tag_province,ft_tag_city,ft_tag_city_tier,ft_asset_score_a_rule,ft_asset_score_b_rule,ft_asset_score_c_rule,ft_asset_score_d_rule,ft_asset_score_e_rule,ft_asset_score_f_rule,ft_tag_p2p,ft_tag_stock,ft_tag_asset_management,ft_tag_bookkeeping,ft_tag_banking,ft_tag_credit_card,ft_tag_lottery,ft_stable_score_a_rule,ft_stable_score_b_rule,ft_stable_score_c_rule,ft_stable_score_d_rule,ft_stable_score_e_rule,ft_stable_score_f_rule
52f9bbe98a7c44c4e671c7225757dcbe,1,2,1,3,0,44000000,44130000,3,558,5,555,4,549,3,0,1,0,0,1,0,0,546,6,552,12,550,9
558dc4cd295e6670a34010766f214258,1,1,0,2.5,1,32000000,32100000,3,557,6,553,5,560,3,0,0,0,0,0,0,0,565,10,555,8,545,7
19785082cff4adc0daa984d01474e40e,1,2,0,2.5,0,43000000,43010000,2,549,5,544,4,549,1,0,0,0,0,0,0,0,565,10,555,8,545,7
4410c864d89dce5f8832c24e9c6f59c1,1,1,0,2.5,0,44000000,44130000,3,544,3,537,4,546,1,0,1,1,0,1,1,0,548,4,547,8,549,8
7d4b1699c155caa2d90ad69f3652732c,1,2,0,2.5,0,12000000,12000000,2,539,1,547,3,547,3,0,1,1,0,1,0,0,541,4,557,6,543,7
97cec00de2b938bdc101e08de47f6a83,1,2,0,3,0,33000000,33020000,2,547,3,547,6,549,4,0,1,1,0,1,0,0,548,4,546,9,539,5
57023984833a754c6af3ef401887f842,1,2,0,2.5,1,32000000,32050000,2,531,0,541,4,545,2,0,1,1,0,1,0,0,550,3,557,8,545,6
5d3856d9837b0dc72db137581894a5ac,1,1,0,2.5,1,32000000,32020000,2,543,4,548,5,547,2,0,1,0,0,1,1,0,535,4,549,6,548,7
05811c23c7f35b74c374ac9a29b71dd2,1,2,0,2,1,23000000,23120000,4,548,4,546,5,549,2,0,1,0,0,1,1,0,570,9,552,9,567,9
ee1291eee06738a08aeed2a3ad1551bc,0,2,0,2.5,0,33000000,33070000,3,544,4,550,4,549,1,0,0,0,0,1,0,0,565,10,555,8,545,7
42ebf337a4747e123391f42d295a414a,0,1,0,2.5,1,44000000,44030000,1,549,5,547,4,549,1,0,1,1,0,0,0,0,559,10,555,8,549,9
1950f9e014f591d9799b4c1db91a5a3f,1,1,0,2,0,41000000,41110000,4,553,4,548,4,549,1,0,0,0,0,1,0,0,560,8,563,10,561,9
b54a9c55d9f7aa14415c914311861dd3,1,1,0,2.5,0,12000000,12000000,2,549,5,543,4,549,1,3,1,1,0,1,1,0,557,5,557,8,538,4
3b8d06c7f9582941984b239b27d18dd7,1,1,0,2.5,0,37000000,37070000,3,544,4,546,4,549,1,0,0,0,0,1,0,0,594,11,569,11,555,9
607f64158fc5a0fba70d1dd0f39c6108,1,1,0,1,0,33000000,33040000,3,543,3,543,5,549,2,3,0,1,0,1,1,0,554,9,555,10,562,9
b4164450045e622608977bd73a8eccec,0,1,0,2.5,0,32000000,32030000,3,548,5,547,6,549,3,0,0,0,0,0,0,0,568,10,560,7,551,9
4851446ff90fbfe1d75c677db1801c25,1,2,0,2.5,0,32000000,32010000,2,539,2,544,2,549,2,0,1,0,0,1,0,0,569,11,555,8,548,9
fafe6d30a2958747121aaa2257f51b0d,1,2,1,2.5,1,44000000,44030000,1,538,1,541,3,547,2,0,1,1,0,1,1,0,549,4,559,8,552,6
e62e1fe1f68d289fe556815d95b7cafb,1,1,0,2.5,1,36000000,36010000,2,539,4,548,4,547,1,0,1,1,0,1,1,0,555,6,549,8,544,4
3e8eb991eff8d1d69fd592b48243cdc5,0,1,0,3,0,11000000,11000000,1,550,4,544,5,558,3,0,0,0,0,0,0,0,545,5,556,5,549,10
b41c3e9052f9fdd2fe2b6635760c6907,1,1,0,2.5,1,33000000,33010000,2,548,5,547,6,549,3,2,0,1,0,0,0,0,551,6,548,6,538,5
afe3f43eb5199c4ffe3d44f3cf2d074f,1,2,0,3,0,33000000,33010000,2,526,1,546,3,541,3,0,1,1,0,1,0,0,539,5,557,8,573,8
6855920047c8cbb25fb21aa897962625,1,2,0,2.5,0,32000000,32030000,3,557,5,556,4,560,5,0,1,1,0,1,0,0,557,10,555,9,545,7
3e70cf09062bcb57ca941bf6cb1d11d8,1,2,0,2.5,0,44000000,44030000,1,558,6,552,5,549,2,0,0,0,0,0,0,0,545,5,545,4,530,3
552adf00f004ce2df4d5d843979ac3b2,1,1,0,2.5,1,33000000,33050000,4,551,4,547,4,545,0,0,0,1,0,1,1,0,556,4,556,8,549,8
1439e7907211bba0787c3117c6a7f06d,1,0,0,2.5,0,50000000,50000000,2,548,4,543,5,549,2,3,1,1,0,1,0,0,564,9,554,8,545,8
3fa32a52f3ae94efddb519bce7d530c2,1,2,0,2.5,1,12000000,12000000,2,534,1,536,1,547,1,3,1,1,1,1,1,0,537,2,543,5,542,8
7ef01e8eb134cb9225d008e9c157cfb2,1,1,0,2.5,0,13000000,13010000,2,558,5,548,4,549,1,0,0,0,0,1,0,0,551,5,549,8,541,4
d923fda7e811ab88fadfc0ad0aa3fbeb,1,2,1,2.5,1,37000000,37020000,2,536,3,542,4,541,1,0,1,0,0,1,0,0,558,5,546,7,548,5
86c8974b3015fec4cd5c2790e4bd7215,1,1,0,3,1,42000000,42010000,2,543,3,543,5,549,2,0,1,1,0,1,1,0,546,3,546,8,558,8
f846829d27e585ce94bd472db55424fe,1,1,0,3,0,33000000,33100000,3,544,5,554,5,549,2,0,1,1,0,1,0,0,558,6,554,5,559,9
5351eec39d56578d972c289f72b4135b,1,1,0,2.5,0,32000000,32030000,3,557,5,555,6,549,3,0,1,0,1,1,0,0,552,7,554,11,555,8
839e7faaccab7757ed207440295aa460,1,1,0,2.5,0,42000000,42010000,2,546,2,546,4,547,1,3,1,1,1,1,1,0,557,6,558,7,533,5
f9f3d30a220bd697f5dcea6a896d7cee,1,1,0,2.5,1,37000000,37020000,2,550,4,552,5,547,2,0,1,1,0,1,0,0,553,3,557,8,552,6
0f959c973ac970697da90b9dd50dc6e2,1,0,0,2.5,1,37000000,37070000,3,548,5,555,4,549,4,0,1,1,0,1,0,0,549,6,564,11,559,9
466460e5055d0bbc97a3d81fda8df0e6,1,1,0,3,0,35000000,35030000,4,544,4,543,4,549,1,0,1,1,0,1,0,0,556,7,552,11,568,11
fbf6e48ff82dbfda0f73ba2730cbe27c,1,2,0,2.5,1,37000000,37010000,2,534,4,543,4,563,2,0,1,1,0,1,1,0,559,6,559,10,569,5
45d79c9da994b9eddd42fcfd3ebc1d34,0,2,1,2.5,1,31000000,31000000,1,534,3,539,3,563,1,0,1,1,0,1,0,0,565,6,546,7,554,8
e743675a374089b6f75d242a5438deea,0,1,0,3,0,44000000,44130000,3,549,6,550,5,549,2,0,1,0,0,0,0,0,562,8,550,9,564,11
16fc3387f9ca4f64a3960008edf8a748,1,2,0,2.5,1,43000000,43010000,2,537,2,544,4,545,3,0,1,1,0,0,0,0,554,6,546,6,524,4
c64c1de2323f0eef3d5c3911d7942321,1,2,1,2.5,1,37000000,37010000,2,546,3,557,5,547,2,0,1,0,0,1,1,0,556,7,544,4,535,5
2996810fc104bbd01c2dd0f043506f83,1,2,1,2.5,1,13000000,13010000,2,542,3,551,5,547,2,0,1,1,0,1,1,0,572,7,550,8,545,7
46ef50bc4ccbfd29dccc8c786f34234d,1,2,1,2.5,0,33000000,33030000,2,551,4,555,6,549,3,0,1,1,0,0,0,0,588,8,563,8,549,6
f3cf03bc1feaffcc216e7df5c1e38d62,1,2,0,2,1,31000000,31000000,1,540,4,550,4,563,3,0,1,1,0,1,1,0,560,6,549,9,544,4
45828a26310f79ef6a7cc02a42df7039,1,1,0,2.5,0,33000000,33030000,2,548,3,547,5,546,2,0,1,0,0,1,0,0,563,5,557,8,546,5
3192703ff212c01613f615bd54a65ae0,1,2,1,2.5,0,44000000,44030000,1,553,4,548,4,549,1,0,1,0,0,1,0,0,554,7,548,6,541,7
0d72686c48401742835baa5d182d2d39,1,2,1,2.5,1,32000000,32020000,2,549,6,550,5,549,2,0,1,0,1,1,0,0,558,4,557,8,543,5
